task,model,seq_len,mean_acc,min_acc,max_acc
mqar,KDA,256,1.0000,1.0000,1.0000
mqar,KDA,512,0.9993,0.9990,1.0000
mqar,KDA,1024,0.6821,0.0522,0.9990
mqar,KDA,2048,0.3503,0.0388,0.9734
mqar,Gated DeltaNet,256,0.9766,0.9297,1.0000
mqar,Gated DeltaNet,512,0.6855,0.0586,0.9990
mqar,Gated DeltaNet,1024,0.1213,0.0488,0.2637
mqar,Gated DeltaNet,2048,0.6782,0.0371,0.9990
mqar,Mamba2,256,1.0000,1.0000,1.0000
mqar,Mamba2,512,0.6807,0.0439,0.9990
mqar,Mamba2,1024,0.6354,0.0391,0.9990
mqar,Mamba2,2048,0.0391,0.0364,0.0439
mqar,Softmax attention,256,1.0000,1.0000,1.0000
mqar,Softmax attention,512,0.7214,0.1660,0.9990
mqar,Softmax attention,1024,0.9993,0.9990,0.9995
mqar,Softmax attention,2048,0.3690,0.0449,0.9993
palindrome,KDA,256,0.9977,0.9961,0.9985
palindrome,KDA,512,0.9876,0.9779,0.9940
palindrome,KDA,1024,0.9448,0.8972,0.9861
palindrome,KDA,2048,0.7885,0.6099,0.9115
palindrome,Gated DeltaNet,256,0.9964,0.9936,0.9990
palindrome,Gated DeltaNet,512,0.9927,0.9839,0.9991
palindrome,Gated DeltaNet,1024,0.9727,0.9423,0.9978
palindrome,Gated DeltaNet,2048,0.8509,0.7528,0.9404
palindrome,Mamba2,256,0.9927,0.9890,0.9954
palindrome,Mamba2,512,0.9783,0.9633,0.9859
palindrome,Mamba2,1024,0.9352,0.9102,0.9589
palindrome,Mamba2,2048,0.7720,0.5807,0.9089
palindrome,Softmax attention,256,0.9986,0.9981,0.9992
palindrome,Softmax attention,512,0.9979,0.9974,0.9985
palindrome,Softmax attention,1024,0.9984,0.9969,0.9992
palindrome,Softmax attention,2048,0.9953,0.9925,0.9992
stack,KDA,256,0.9996,0.9994,1.0000
stack,KDA,512,0.9984,0.9967,0.9994
stack,KDA,1024,0.9991,0.9991,0.9992
stack,KDA,2048,0.9965,0.9959,0.9970
stack,Gated DeltaNet,256,0.9994,0.9994,0.9994
stack,Gated DeltaNet,512,0.9993,0.9992,0.9994
stack,Gated DeltaNet,1024,0.9992,0.9990,0.9993
stack,Gated DeltaNet,2048,0.9974,0.9966,0.9986
stack,Mamba2,256,0.9880,0.9833,0.9921
stack,Mamba2,512,0.9985,0.9974,0.9992
stack,Mamba2,1024,0.9908,0.9862,0.9976
stack,Softmax attention,256,0.9954,0.9892,0.9995
stack,Softmax attention,512,0.9983,0.9974,0.9992
stack,Softmax attention,1024,0.9990,0.9988,0.9991
